nama_produk,harga,nama_toko,lokasi,total_terjual,rating
jastip SEBLAK RAFAEL || SEBLAK MAMANG RAFAEL || SEBLAK VIRAL,Rp40.000,Naturally Plus Jakarta,Kab. Tangerang,50+ terjual,4.8
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,2 rb+ terjual,4.8
KERUPUK PEDAS KRIWIL BANTAT ISI 250gr KRITING SEMBRING SEBLAK MAWAR,Rp17.248,AHR Jaya Snack,Jakarta Timur,20 terjual,5.0
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,Rp16.000,Aydaa Snack,Surakarta,40+ terjual,4.9
Seblak Instan Komplit Pedas Gurih Nikmat,Rp5.999,Baso Aci Ayang,Kab. Garut,2 rb+ terjual,4.9
KERUPUK SEBLAK MINI KENCUR JABLAY BANTET PEDAS 500GRAM KILOAN,Rp21.000,ajs(ale jaya snack),Jakarta Utara,18 terjual,5.0
1 ctn - Indomie Hypeabis Seblak Hot Jeletot,Rp 128.131,,,12 terjual,5.0
1 ctn - Indomie Goreng Ayam Panggang Jumbo,Rp 101.535,,,100+ terjual,5.0
1 ctn - Indomie Goreng Spesial Jumbo,Rp 101.535,,,250+ terjual,4.9
Sukro cikur pilus kencur sari rasa 250 gram toping seblak baso aci,Rp8.500,CuankiCulametan,Kab. Garut,100+ terjual,4.9
SEBLAK MANG JOJO,Rp24.000,steviag91,Tangerang Selatan,100+ terjual,5.0
Kerupuk Seblak Jeruk,Rp14.000,oke snack,Jakarta Selatan,100+ terjual,4.9
Cuanki Wildan Kemasan Frozen,Rp27.000,"Cuanki Wildan Tebet, Jakarta",Jakarta Selatan,250+ terjual,4.7
Snack Seblak jeletot 150 gr,Rp14.000,Asinan Maputri,Tangerang,10 terjual,4.9
KERUPUK JABLAY SEBLAK PELANGI 500 GRAM,Rp23.275,G Cakery,Jakarta Pusat,30+ terjual,5.0
Seblak Komplit⠀⠀,Rp5.500,lisdhacollection,Kab. Garut,1 rb+ terjual,4.8
seblak basreng pedas original exstra daun jeruk 500gram,Rp25.000,seblak bandung99,Kab. Bandung,2 rb+ terjual,4.8
SEBLAK BANTAT PEDES DAUN JERUK 250GR,Rp18.000,Madinah Oleh Oleh Bdg,Bandung,100+ terjual,4.8
Sabring kerupuk seblak pedas gurih,Rp2.500,RIKI STORE 97,Kab. Bogor,100+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,2 rb+ terjual,4.8
